add_line1,add_line2,city,county,country,pincode
122 Church Church Victoria St,Flat 6,Coventry,West Midlands,GB,AB101NN
58 Station Church Bridge St,Flat 13,Swansea,West Glamorgan,GB,B338TH
27 Green Bridge Mill St,,Glasgow,Glasgow City,GB,BT71NN
122 Bridge Green George St,Flat 16,Norwich,Norfolk,GB,CF101BH
160 Station Church Park St,Flat 18,Glasgow,Glasgow City,GB,DD11AA
89 Station High Grove St,Flat 18,Exeter,Devon,GB,E14BH
192 Park Green King St,Flat 19,Leeds,West Yorkshire,GB,EC1A1BB
26 Victoria Green High St,,Sheffield,South Yorkshire,GB,EH12AB
58 Park High King St,Flat 13,Leicester,Leicestershire,GB,G11AA
62 Mill Green George St,Flat 8,Durham,County Durham,GB,GU11AA
53 King Mill Park St,Flat 11,Exeter,Devon,GB,KA11BB
172 Station Grove Mill St,Flat 3,Preston,Lancashire,GB,L16XX
143 Grove Oak King St,Flat 4,Liverpool,Merseyside,GB,M11AE
100 Queen King Mill St,,Durham,County Durham,GB,N16XY
193 High Mill Park St,,Plymouth,Devon,GB,NE10AA
167 Queen Victoria Bridge St,Flat 3,Cardiff,South Glamorgan,GB,SE11ZZ
153 Park High Station St,,Exeter,Devon,GB,SW1A1AA
113 Grove Green Victoria St,Flat 6,Coventry,West Midlands,GB,TN12AB
182 Church Church Mill St,,Nottingham,Nottinghamshire,GB,UB70BH
197 Green Park Green St,,London,Greater London,GB,W1A0AX
