add_line1,postcode,po_suffix
155 Mill Mill St,BT71NN,IZ
109 King Queen St,AB101NN,GR
177 Bridge George St,AB101NN,GW
172 Park Grove St,AB101NN,UL
34 Park Grove St,KA11BB,VU
81 Park Oak St,KA11BB,YC
131 Grove Queen St,SW1A1AA,DM
66 Queen Green St,SW1A1AA,BW
134 Grove High St,SW1A1AA,ZR
189 King George St,NE10AA,RZ
125 Queen Green St,NE10AA,HI
8 Grove Oak St,NE10AA,MK
104 Victoria Victoria St,NE10AA,XF
24 Bridge High St,CF101BH,JH
63 Grove George St,CF101BH,JV
122 Queen Mill St,CF101BH,RQ
191 Mill Grove St,CF101BH,RK
191 High Mill St,GU11AA,PW
99 Bridge Grove St,GU11AA,VZ
127 Victoria Church St,GU11AA,BE
85 King Queen St,GU11AA,DO
102 Mill Station St,B338TH,AI
117 King Station St,B338TH,LV
